iso2;iso3;isonr;language;name
AD;AND;20;ca;Catalan\Valencian
AE;ARE;784;ar-AE;Arabic (AE)
AE;ARE;784;fa;Persian
AE;ARE;784;en;English
AE;ARE;784;hi;Hindi
AE;ARE;784;ur;Urdu
AF;AFG;4;fa-AF;Persian (AF)
AF;AFG;4;ps;Pushto\Pashto
AF;AFG;4;uz-AF;Uzbek (AF)
AF;AFG;4;tk;Turkmen
AG;ATG;28;en-AG;English (AG)
AI;AIA;660;en-AI;English (AI)
AL;ALB;8;sq;Albanian
AL;ALB;8;el;Greek, Modern
AM;ARM;51;hy;Armenian
AO;AGO;24;pt-AO;Portuguese (AO)
AR;ARG;32;es-AR;Spanish\Castilian (AR)
AR;ARG;32;en;English
AR;ARG;32;it;Italian
AR;ARG;32;de;German
AR;ARG;32;fr;French
AR;ARG;32;gn;Guarani
AS;ASM;16;en-AS;English (AS)
AS;ASM;16;to;Tonga (Tonga Islands)
AS;ASM;16;sm;Samoan
AT;AUT;40;de-AT;German (AT)
AT;AUT;40;hr;Croatian
AT;AUT;40;hu;Hungarian
AT;AUT;40;sl;Slovenian
AU;AUS;36;en-AU;English (AU)
AW;ABW;533;nl-AW;Dutch (AW)
AW;ABW;533;es;Spanish\Castilian
AW;ABW;533;en;English
AX;ALA;248;sv-AX;Swedish (AX)
AZ;AZE;31;az;Azerbaijani
AZ;AZE;31;ru;Russian
AZ;AZE;31;hy;Armenian
BA;BIH;70;bs;Bosnian
BA;BIH;70;hr-BA;Croatian (BA)
BA;BIH;70;sr-BA;Serbian (BA)
BB;BRB;52;en-BB;English (BB)
BD;BGD;50;bn-BD;Bengali (BD)
BD;BGD;50;en;English
BE;BEL;56;nl-BE;Dutch (BE)
BE;BEL;56;fr-BE;French (BE)
BE;BEL;56;de-BE;German (BE)
BF;BFA;854;fr-BF;French (BF)
BG;BGR;100;bg;Bulgarian
BG;BGR;100;tr-BG;Turkish (BG)
BG;BGR;100;ro-BG;Romanian\Moldavian\Moldovan (BG)
BH;BHR;48;ar-BH;Arabic (BH)
BH;BHR;48;en;English
BH;BHR;48;fa;Persian
BH;BHR;48;ur;Urdu
BI;BDI;108;fr-BI;French (BI)
BI;BDI;108;rn;Rundi
BJ;BEN;204;fr-BJ;French (BJ)
BL;BLM;652;fr;French
BM;BMU;60;en-BM;English (BM)
BM;BMU;60;pt;Portuguese
BN;BRN;96;ms-BN;Malay (BN)
BN;BRN;96;en-BN;English (BN)
BO;BOL;68;es-BO;Spanish\Castilian (BO)
BO;BOL;68;qu;Quechua
BO;BOL;68;ay;Aymara
BQ;BES;535;nl;Dutch
BQ;BES;535;pap;Papiamento
BQ;BES;535;en;English
BR;BRA;76;pt-BR;Portuguese (BR)
BR;BRA;76;es;Spanish\Castilian
BR;BRA;76;en;English
BR;BRA;76;fr;French
BS;BHS;44;en-BS;English (BS)
BT;BTN;64;dz;Dzongkha
BW;BWA;72;en-BW;English (BW)
BW;BWA;72;tn-BW;Tswana (BW)
BY;BLR;112;be;Belarusian
BY;BLR;112;ru;Russian
BZ;BLZ;84;en-BZ;English (BZ)
BZ;BLZ;84;es;Spanish\Castilian
CA;CAN;124;en-CA;English (CA)
CA;CAN;124;fr-CA;French (CA)
CA;CAN;124;iu;Inuit
CC;CCK;166;ms-CC;Malay (CC)
CC;CCK;166;en;English
CD;COD;180;fr-CD;French (CD)
CD;COD;180;ln;Lingala
CD;COD;180;kg;Kikongo
CF;CAF;140;fr-CF;French (CF)
CF;CAF;140;sg;Sango
CF;CAF;140;ln;Lingala
CF;CAF;140;kg;Kikongo
CG;COG;178;fr-CG;French (CG)
